"","Var1","Var2","Freq","ncld","nlcd","easting","northing"
"1","BART_001","distributed",4,"mixedForest","mixedForest",315210.06,4879688.67
"2","BART_002","distributed",2,"deciduousForest","deciduousForest",317882.46,4878280.16
"3","BART_003","distributed",2,"deciduousForest","deciduousForest",318721.11,4880499.19
"4","BART_004","distributed",2,"mixedForest","mixedForest",316774.59,4879032.78
"5","BART_005","distributed",3,"mixedForest","mixedForest",317193.86,4880470.98
"6","BART_006","distributed",2,"deciduousForest","deciduousForest",314911.37,4881190.13
"7","BART_007","distributed",2,"mixedForest","mixedForest",315871.66,4879961.18
"8","BART_010","distributed",2,"deciduousForest","deciduousForest",318422.21,4879932.29
"9","BART_011","distributed",2,"mixedForest","mixedForest",316051.42,4879990.29
"10","BART_012","distributed",3,"deciduousForest","deciduousForest",314433.83,4879601.29
"11","BART_013","distributed",2,"deciduousForest","deciduousForest",317521.98,4879030.53
"12","BART_015","distributed",2,"mixedForest","mixedForest",317882.77,4879151.5
"13","BART_016","distributed",2,"mixedForest","mixedForest",316680.78,4880109.5
"14","BART_018","distributed",2,"mixedForest","mixedForest",317551.92,4880890.02
"15","BART_019","distributed",2,"mixedForest","mixedForest",316921.1,4882118.34
"16","BART_023","distributed",2,"evergreenForest","evergreenForest",318663.2,4879841.85
"17","BART_024","distributed",2,"evergreenForest","evergreenForest",318662.21,4880226.03
"18","BART_025","distributed",2,"evergreenForest","evergreenForest",314729.25,4881070.19
"19","BART_026","distributed",2,"evergreenForest","evergreenForest",314672.62,4881280.2
"20","BART_027","distributed",2,"evergreenForest","evergreenForest",318841.79,4880795.33
"21","BART_028","distributed",1,"evergreenForest","evergreenForest",315242.16,4880465.44
"22","BART_032","distributed",0,"deciduousForest","deciduousForest",316801.6,4881910.57
"23","BART_033","distributed",0,"deciduousForest","deciduousForest",317102.15,4881427.69
"24","BART_034","distributed",0,"mixedForest","mixedForest",316949.72,4881552.64
"25","BART_036","distributed",0,"deciduousForest","deciduousForest",316921.3,4881308.66
"26","BART_037","distributed",0,"deciduousForest","deciduousForest",317130.78,4881249.05
"27","BART_039","distributed",0,"deciduousForest","deciduousForest",316680.12,4881493.21
"28","BART_040","distributed",0,"deciduousForest","deciduousForest",316443.15,4881730.79
"29","BART_041","distributed",0,"deciduousForest","deciduousForest",316952.82,4881670.16
"30","BART_042","distributed",0,"deciduousForest","deciduousForest",316741.36,4881103.79
"31","BART_044","distributed",0,"deciduousForest","deciduousForest",317042.31,4881189.03
"32","BART_046","distributed",0,"deciduousForest","deciduousForest",316952.36,4881070.36
"33","BART_047","distributed",0,"deciduousForest","deciduousForest",316531.6,4881640.29
"34","BART_050","distributed",0,"mixedForest","mixedForest",316774.41,4881249.16
"35","BART_051","distributed",0,"deciduousForest","deciduousForest",316774.37,4881397.78
"36","BART_070","distributed",0,"mixedForest","mixedForest",317283.7,4881549.38
"37","BART_071","distributed",0,"mixedForest","mixedForest",316559.3,4881970.33
"38","BART_072","distributed",0,"deciduousForest","deciduousForest",316892.4,4881159.73
"39","BART_073","distributed",0,"mixedForest","mixedForest",316710.32,4881613.76
"40","BART_074","distributed",0,"mixedForest","mixedForest",317130.15,4881099.34
"41","BART_075","distributed",0,"mixedForest","mixedForest",316863.06,4880983.36
"42","BART_001","tower",0,"mixedForest","mixedForest",315210.06,4879688.67
"43","BART_002","tower",0,"deciduousForest","deciduousForest",317882.46,4878280.16
"44","BART_003","tower",0,"deciduousForest","deciduousForest",318721.11,4880499.19
"45","BART_004","tower",0,"mixedForest","mixedForest",316774.59,4879032.78
"46","BART_005","tower",0,"mixedForest","mixedForest",317193.86,4880470.98
"47","BART_006","tower",0,"deciduousForest","deciduousForest",314911.37,4881190.13
"48","BART_007","tower",0,"mixedForest","mixedForest",315871.66,4879961.18
"49","BART_010","tower",0,"deciduousForest","deciduousForest",318422.21,4879932.29
"50","BART_011","tower",0,"mixedForest","mixedForest",316051.42,4879990.29
"51","BART_012","tower",0,"deciduousForest","deciduousForest",314433.83,4879601.29
"52","BART_013","tower",0,"deciduousForest","deciduousForest",317521.98,4879030.53
"53","BART_015","tower",0,"mixedForest","mixedForest",317882.77,4879151.5
"54","BART_016","tower",0,"mixedForest","mixedForest",316680.78,4880109.5
"55","BART_018","tower",0,"mixedForest","mixedForest",317551.92,4880890.02
"56","BART_019","tower",0,"mixedForest","mixedForest",316921.1,4882118.34
"57","BART_023","tower",0,"evergreenForest","evergreenForest",318663.2,4879841.85
"58","BART_024","tower",0,"evergreenForest","evergreenForest",318662.21,4880226.03
"59","BART_025","tower",0,"evergreenForest","evergreenForest",314729.25,4881070.19
"60","BART_026","tower",0,"evergreenForest","evergreenForest",314672.62,4881280.2
"61","BART_027","tower",0,"evergreenForest","evergreenForest",318841.79,4880795.33
"62","BART_028","tower",0,"evergreenForest","evergreenForest",315242.16,4880465.44
"63","BART_032","tower",5,"deciduousForest","deciduousForest",316801.6,4881910.57
"64","BART_033","tower",5,"deciduousForest","deciduousForest",317102.15,4881427.69
"65","BART_034","tower",5,"mixedForest","mixedForest",316949.72,4881552.64
"66","BART_036","tower",7,"deciduousForest","deciduousForest",316921.3,4881308.66
"67","BART_037","tower",5,"deciduousForest","deciduousForest",317130.78,4881249.05
"68","BART_039","tower",5,"deciduousForest","deciduousForest",316680.12,4881493.21
"69","BART_040","tower",7,"deciduousForest","deciduousForest",316443.15,4881730.79
"70","BART_041","tower",5,"deciduousForest","deciduousForest",316952.82,4881670.16
"71","BART_042","tower",7,"deciduousForest","deciduousForest",316741.36,4881103.79
"72","BART_044","tower",5,"deciduousForest","deciduousForest",317042.31,4881189.03
"73","BART_046","tower",5,"deciduousForest","deciduousForest",316952.36,4881070.36
"74","BART_047","tower",5,"deciduousForest","deciduousForest",316531.6,4881640.29
"75","BART_050","tower",5,"mixedForest","mixedForest",316774.41,4881249.16
"76","BART_051","tower",5,"deciduousForest","deciduousForest",316774.37,4881397.78
"77","BART_070","tower",5,"mixedForest","mixedForest",317283.7,4881549.38
"78","BART_071","tower",7,"mixedForest","mixedForest",316559.3,4881970.33
"79","BART_072","tower",5,"deciduousForest","deciduousForest",316892.4,4881159.73
"80","BART_073","tower",7,"mixedForest","mixedForest",316710.32,4881613.76
"81","BART_074","tower",5,"mixedForest","mixedForest",317130.15,4881099.34
"82","BART_075","tower",5,"mixedForest","mixedForest",316863.06,4880983.36
